@RELATION api/public/arff/genre_classification.arff 

@ATTRIBUTE speechiness numeric 
@ATTRIBUTE acousticness numeric 
@ATTRIBUTE instrumentalness numeric 
@ATTRIBUTE liveness numeric 
@ATTRIBUTE valence numeric 
@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE genre {1,2,3} 

@DATA 
0.0759, 0.0128, 0.0000021, 0.203, 0.904, 257400, 104.536, 4, 0, 6, -4.506, 0.845, 0.884, 3 
0.266, 0.0675, 0, 0.113, 0.571, 306267, 92.053, 4, 0, 1, -4.377, 0.766, 0.796, 3 
0.0502, 0.0186, 0.0000244, 0.107, 0.908, 348373, 90.846, 4, 1, 4, -5.667, 0.715, 0.662, 3 
0.0277, 0.106, 0.655, 0.12, 0.834, 298054, 134.11, 4, 0, 5, -6.687, 0.691, 0.761, 3 
0.0681, 0.0961, 0.000296, 0.0971, 0.657, 227267, 107.545, 4, 0, 5, -8.491, 0.801, 0.581, 3 
0.0398, 0.137, 0, 0.57, 0.563, 299027, 81.893, 4, 0, 5, -7.523, 0.586, 0.572, 3 
0.0355, 0.00465, 0.0152, 0.129, 0.857, 221293, 200.102, 4, 0, 3, -4.439, 0.635, 0.74, 3 
0.373, 0.000917, 0.0000279, 0.352, 0.324, 338187, 90.972, 4, 1, 2, -6.959, 0.722, 0.639, 3 
0.303, 0.0469, 0, 0.268, 0.832, 239533, 82.911, 4, 1, 0, -8.701, 0.693, 0.905, 3 
0.0536, 0.393, 0.0662, 0.182, 0.501, 396493, 154.006, 4, 1, 2, -11.349, 0.663, 0.612, 3 
0.0337, 0.104, 0.000178, 0.0763, 0.834, 290440, 120.849, 4, 0, 0, -6.674, 0.873, 0.711, 3 
0.052, 0.0287, 0.0000445, 0.0566, 0.89, 254027, 97.594, 4, 0, 10, -3.028, 0.771, 0.816, 3 
0.0366, 0.116, 0.00112, 0.0537, 0.751, 253080, 102.87, 4, 1, 0, -5.351, 0.754, 0.696, 3 
0.0828, 0.0194, 0.00000118, 0.0399, 0.334, 292347, 118.929, 4, 1, 2, -5.246, 0.82, 0.444, 3 
0.0291, 0.571, 0.000657, 0.083, 0.705, 180427, 94.96, 4, 0, 3, -8.333, 0.778, 0.555, 3 
0.0935, 0.114, 0.00476, 0.0809, 0.78, 409907, 93.206, 4, 0, 11, -9.722, 0.784, 0.612, 3 
0.0917, 0.118, 0.00000711, 0.152, 0.683, 299827, 95.83, 4, 1, 1, -6.755, 0.694, 0.823, 3 
0.112, 0.0269, 0.000684, 0.1, 0.8, 308907, 94.04, 4, 1, 1, -6.411, 0.806, 0.552, 3 
